Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Perspective,Main Category,Extra Descriptors,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Mario Tennis Aces,65,78,-13,18%,Switch,Switch,2018,2018,,10,Finished,1,No,Nintendo,Camelot Software Planning,Mario Sports,Third person,Sports,Tennis,,,,
Final Fantasy XV,65,81,-16,18%,PS4,PS4,2016,2016,,28,Finished,1,No,Square Enix,Square Enix,Final Fantasy,Third person,Action-RPG,"JRPG, open-world, story-driven",,,,
War Thunder,65,75,-10,18%,"PS4, PC",PS4,2013,2013,,15,Dropped,,No,Indie,Gaijin Entertainment,War Thunder,Third person,Simulation,"Multiplayer (online), action",,,,
New Super Mario Bros. 2,65,78,-13,18%,3DS,3DS,2012,2012,,4,Dropped,0,No,Nintendo,Nintendo,Super Mario (2D),2D,Platformer,,,,,
Ultros,64,80,-16,16%,"PS4, PS5, PC",PS5,2024,2024,,3,Dropped,0,No,Indie,Kepler Interactive,Ultros,2D,Metroidvania,Roguelike,,,,
Wo Long Fallen Dynasty,64,82,-18,16%,"PS4, XB1, PS4, XBS, PC",XBS,2023,2023,,2,Tried,0,No,Koei Tecmo,Team Ninja,Wo Long,Third person,Soulslike,Action-RPG,,,,
Lyne,64,86,-22,16%,"Mobile, PC",Mobile,2013,2022,,3,Dropped,,No,Indie,Thomas Bowker,Lyne,Overview,Puzzle,,,,,
The Ascent,64,73,-9,16%,"PC, XBS, XB1",PC,2021,2021,,4,Tried,0,No,Curve Games,Neon Giant,The Ascent,Top down,Action-RPG,Story-driven,,,,
The Last Guardian,64,81,-17,16%,PS4,PS5,2016,2021,,3,Tried,0,No,Sony,Japan Studio,The Last Guardian,Third person,Adventure,"Puzzle, story-driven, linear",,,,
Dragon Quest Builders,64,70,-6,16%,PS4,PS4,2016,2016,,12,Dropped,0,No,Square Enix,Square Enix,Dragon Quest,Third person,Sandbox,Action-RPG,,,,
Civilization Beyond Earth,64,81,-17,16%,PC,PC,2014,2014,,6,Dropped,,No,2K Games,Firaxis,Civilization,Overview,Strategy,Turn-based,,,,
Awesomenauts,64,78,-14,16%,PC,PC,2012,2012,,22,Dropped,,No,Indie,Ronimo Games,Awesomenauts,2D,Action,Multiplayer,,,,
Mario & Sonic at the Winter Olympic Games,64,72,-8,16%,DS,DS,2009,2010,,15,Dropped,0,No,SEGA,Sonic Team,Mario Sports,Overview,Sports,Party,,,,
A Plague Tale: Requiem,63,84,-21,15%,"PS5, XBS, PC, Switch",XBS,2022,2022,,13,Finished,1,No,Focus Home Interactive,Asobo Studio,A Plague Tale,Third person,Stealth,"Linear, puzzles, story-driven, survival",,,,
Darksburg,63,68,-5,15%,PC,PC,2020,2021,,7,Finished,,No,Indie,Shiro Games,Darksburg,Top down,Roguelike,"Hack and slash, multiplayer (co-op)",,,,
Surviving Mars,63,77,-14,15%,"PS4, XB1, PC",PC,2018,2021,,2,Tried,,No,Paradox Interactive,Abstraction,Surviving Mars,Top down,Simulation,"City-building, strategy",,,,
Nier Automata,63,89,-26,15%,PS4,PS4,2017,2017,,11,Dropped,0,No,Square Enix,Platinum Games,Nier,Third person,Action-RPG,"Hack and slash, JRPG, open-world, story-driven",,,,
Just Cause 3,63,73,-10,15%,PS4,PS4,2015,2017,,3,Tried,0,No,Square Enix,Avalanche Studios,Just Cause,Third person,Action-adventure,"Open-world, sandbox",,,,
Lara Croft and the Temple of Osiris,63,73,-10,15%,"PS4, XB1, PC",PS4,2014,2015,,2,Tried,0,No,Square Enix,Crystal Dynamics,Tomb Raider,Top down,Twin-stick shooter,Action-adventure,,,,
Banished,63,74,-11,15%,PC,PC,2014,2014,,23,Dropped,,No,Indie,Shining Rock Software,Banished,Top down,Strategy,"Simulation, city-building",,,,
Sonic & All Stars Racing Transformed,63,75,-12,15%,Vita,Vita,2012,2014,,5,Tried,,No,SEGA,Sumo Digital,Sonic,Vehicle,Racing,Kart,,,,
Fifa Street 2,63,59,4,15%,PS2,PS2,2006,2007,,20,Finished,,No,EA,EA sports,Fifa,Top down,Sports,Football,,,,
Jak X Combat Racing,62,76,-14,13%,PS2,PS5,2005,2024,,3,Dropped,0,No,Sony,Naughty Dog,Jak and Daxter,Vehicle,Racing,Kart,,,,
Make Way,62,83,-21,13%,"PC, PS4, PS5, XB1, XBS, NSW",PC,2023,2023,,1,Finished,,No,Indie,Ice BEAM,Make Way,Third person,Racing,"Arcade, party",,,,
Minecraft Dungeons,62,72,-10,13%,"PC, PS4, XB1, Switch",Switch,2020,2020,,8,Finished,1,No,Microsoft,Mojang,Minecraft,Top down,Dungeon crawler,"Hack and slash, looter, action-RPG",,,,
Shadow of the Colossus (Remake),62,92,-30,13%,PS4,PS4,2018,2018,,5,Dropped,0,No,Sony,Japan Studio,Shadow of the Colossus,Third person,Action-adventure,"Exploration, open-world, remake",,,,Bluepoint
Project Cars,62,75,-13,13%,PS4,PS4,2015,2016,,7,Tried,,No,Bandai Namco,Slightly Mad Studios,Project Cars,Vehicle,Racing,Sim,,,,
Animal Crossing City Folk,62,73,-11,13%,Wii,Wii,2008,2009,,20,Dropped,0,No,Nintendo,Nintendo,Animal Crossing,Top down,Simulation,"Social, farming",,,,
Crash Bandicoot The Wrath of Cortex,62,66,-4,13%,PS2,PS2,2001,2005,,10,Dropped,0,No,Universal,Traveller's Tales,Crash Bandicoot,Third person,Platformer,,,,,
Diablo 2,61,88,-27,12%,PC,PC,2000,2023,,9,Dropped,0,Yes,Activision-Blizzard,Blizzard,Diablo,Top down,Dungeon crawler,"Action-RPG, hack and slash, looter",,80,2021,
You Suck At Parking,61,70,-9,12%,"PC, Switch, PS4, XB1",PC,2022,2022,,3,Dropped,,Yes,Indie,Happy Volcano,You Suck at Parking,Top down,Racing,"Arcade, puzzles",,,,
Human Fall Flat,61,68,-7,12%,PC,PC,2016,2020,,8,Finished,1,No,Curve Games,Tomas Sakalauskas,Human Fall Flat,Third person,Platformer,"Puzzle, multiplayer (co-op)",,,,
CounterSpy,61,67,-6,12%,"PS3, PS4, Vita",PS4,2014,2015,,3,Dropped,0,No,Sony,Dynamighty,CounterSpy,2D,Stealth,Platforming,,,,
Warlock - Master of the Arcane,61,71,-10,12%,PC,PC,2012,2013,,9,Dropped,,No,Paradox Interactive,Paradox,Warlock,Overview,Strategy,Turn-based,,,,
Mario & Sonic at the Olympic Games,61,67,-6,12%,Wii,Wii,2008,2008,2009,30,Finished,,No,SEGA,Sonic Team,Mario Sports,Overview,Sports,Party,,,,
Prey,60,81,-21,11%,"PS4, XB1, PC",XBS,2017,2023,,7,Dropped,0,No,Bethesda,Arkane Studios,Prey,First person,Stealth,"Stealth, RPG, survival, immersive-sim",,,,
Lego Star Wars The Skywalker Saga,60,82,-22,11%,"PS4, PS5, PC, XB1, XBS, Switch",PS5,2022,2022,,23,Finished,1,No,Warner Bros,Traveller's Tales,Lego Games,Third person,Action-platformer,"Sandbox, puzzles",,,,
Scarlet Nexus,60,79,-19,11%,"PS4, PS5, XB1, XBS, PC",XBS,2021,2022,,6,Dropped,0,No,Bandai Namco,Bandai Namco Studios,Scarlet Nexus,Third person,Action-RPG,"Hack and slash, JRPG, story-driven",,,,
Embr,60,67,-7,11%,PC,PC,2020,2022,,3,Tried,,No,Curve Games,Muse Games,Embr,First person,Party,"Multiplayer (co-op), puzzles, action",,,,
Doom Eternal,60,89,-29,11%,"PS4, XB1, PC",PS4,2020,2020,,6,Dropped,0,No,Bethesda,id Software,Doom,First person,Shooter,"Action, linear",,,,
Disc Jam,60,69,-9,11%,"PS4, XB1, PC",PS4,2017,2017,,2,Tried,0,No,Indie,High Horse Entertainment,Disc Jam,Third person,Sports,Tennis,,,,
Buzz! Junior Jungle Party,60,70,-10,11%,PS2,PS2,2006,2007,,40,Finished,,No,Sony,Magenta Software,Buzz!,Overview,Party,,,,,
Star Fox,59,88,-29,10%,SNES,Switch,1993,2024,,1,Finished,1,No,Nintendo,Nintendo,Star Fox,Vehicle,Action,,,,,
The Outer Worlds,59,85,-26,10%,"PS4, XB1, PC",XBS,2019,2023,,2,Tried,0,No,Private Division,Obsidian Entertainment,The Outer Worlds,First person,RPG,"Stealth, shooter",,,,
Luna,59,62,-3,10%,"PC, PS4",PC,2017,2023,,1,Finished,1,No,Indie,Funomena,Luna,Overview,Puzzle,,,,,
Arcadeggedon,59,74,-15,10%,"XB1, XBS, PS4, PS5, PC",PS5,2022,2022,,5,Dropped,,No,Indie,Illfonic,Arcadeggedon,Third person,Roguelike,"Shooter, multiplayer (co-op), multiplayer (arena), looter",,,,
Back 4 Blood,59,76,-17,10%,"PC,XB1,PS4,PS5,XBS",PC,2021,2021,,10,Finished,1,No,Warner Bros,Turtle Rock Studios,Back 4 Blood,First person,Shooter,"Multiplayer (co-op), horror, survival",,,,
Pokemon Sword,59,80,-21,10%,Switch,Switch,2019,2019,,35,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
Forza Motorsport (2023),58,84,-26,9%,"PC, XBS",XBS,2023,2023,2024,21,Dropped,,Yes,Microsoft,Turn 10 studios,Forza,Vehicle,Racing,Sim,52,,,
Spacelines from the Far Out,58,82,-24,9%,"PC, XB1",PC,2022,2022,,2,Tried,,No,Skystone Games,Coffeenauts,Spacelines from the Far Out,Top down,Party,"Multiplayer (co-op), roguelike",,,,
Unrailed!,58,75,-17,9%,"PC, PS4, XB1",PS4,2019,2020,,2,Dropped,,No,Indie,Indoor Astronaut,Unrailed!,Top down,Party,"Action, multiplayer (co-op)",,,,
F1 2015,58,65,-7,9%,PS4,PS4,2015,2015,2016,90,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Tchia,57,78,-21,8%,"PS4, PS5, PC",PS5,2023,2023,,8,Finished,1,No,Indie,Awaceb,Tchia,Third person,Adventure,"Open-world, exploration",,,,
Middle Earth: Shadow of War,57,79,-22,8%,PS4,PS4,2017,2017,,11,Dropped,0,No,Warner Bros,Monolith Productions,Middle Earth,Third person,Action-adventure,"Open-world, story-driven",,,,
Burnout Paradise,57,88,-31,8%,"PS3, X360",PS3,2008,2011,2021,14,Finished,2,No,EA,Criterion Games,Burnout,Vehicle,Racing,"Arcade, open-world",,79,2018,
Wall-E (DS),57,54,3,8%,DS,DS,2008,2009,,5,Dropped,0,No,THQ,Helixe,Pixar Movie Games,Top down,Puzzle,Movie-game,,,,
For The King,56,75,-19,7%,PC,PC,2018,2021,,4,Tried,,No,Curve Games,Ironoak Games,For The King,Top down,Strategy,"Turn-based, RPG, multiplayer (co-op)",,,,
Big Pharma,56,64,-8,7%,PC,PC,2015,2015,,6,Dropped,,No,Indie,Twice Circled,Big Pharma,Overview,Simulation,"Management, strategy",,,,
Dead Nation: Apocalypse Edition,56,71,-15,7%,PS4,PS4,2014,2014,,3,Tried,0,No,Sony,Housemarque,Dead Nation,Top down,Twin-stick shooter,"Bullet-hell, survival",,,,
Tower Wars,56,59,-3,7%,PC,PC,2012,2012,,7,Finished,,No,Indie,SuperVillain Studios,Tower Wars,Overview,Strategy,Tower-defense,,,,
Finding Nemo,56,63,-7,7%,"GBA, PS2",GBA,2003,2004,,5,Dropped,,No,THQ,Vicarious Visions,Pixar Movie Games,Third person,Action-adventure,"Puzzles, stealth, movie-game",,,,
Lost Ark,55,82,-27,7%,PC,PC,2022,2022,,2,Tried,0,No,Amazon Games,Tripod Studio,Lost Ark,Top down,Dungeon crawler,"MMO, hack and slash, action-RPG",,,,
Destruction Allstars,55,62,-7,7%,PS5,PS5,2021,2021,,2,Tried,,No,Sony,Lucid Games,Destruction Allstars,Third person,Sports,"Multiplayer, action",,,,
Little Big Planet 3,55,79,-24,7%,PS4,PS4,2014,2014,,7,Dropped,0,No,Sony,Sumo Digital,LittleBigPlanet,2D,Platformer,Multiplayer (co-op),,,,
DC Universe Online,55,72,-17,7%,PC,PS4,2011,2013,,5,Tried,0,Yes,Warner Bros,Daybreak Game Company,DC Universe,Third person,Action,"MMO, superhero",,,,
Dandy Ace,54,79,-25,6%,"PS4,XB1,PC",XBS,2021,2022,,2,Tried,,No,Indie,Mad Mimic,Dandy Ace,Top down,Roguelike,Action-RPG,,,,
Need For Speed Heat,54,72,-18,6%,"PS4, XB1, PC",PS4,2019,2020,,11,Dropped,0,No,EA,Ghost Games,Need for Speed,Vehicle,Racing,"Arcade, open-world",,,,
The Crew 2,54,64,-10,6%,PS4,PS4,2018,2018,2019,12,Dropped,0,No,Ubisoft,Ivory Tower,The Crew,Vehicle,Racing,"Aracde, open-world, looter",50,,,
Control,53,84,-31,5%,PS4,PS4,2019,2020,,7,Dropped,0,No,505 Games,Remedy Entertainment,Control,Third person,Shooter,"Action, story-driven, horror",,,,
Octopath Traveller,53,83,-30,5%,Switch,Switch,2018,2018,,10,Dropped,0,No,Square Enix,Square Enix,Octopath,Top down,JRPG,"Story-driven, turn-based",,,,
Game Corp DX,53,64,-11,5%,PC,PC,2015,2015,,5,Dropped,0,No,Indie,Endless Loop Studios,Game Corp DX,Overview,Simulation,Management,,,,
How to Train Your Dragon,53,60,-7,5%,"PS3, X360, DS, Wii",DS,2010,2011,,7,Dropped,0,No,Activision-Blizzard,Griptonite Games,How to Train Your Dragon,Overview,RPG,"Turn-based, monster collecting, movie-game",,,,
Golfie,52,70,-18,5%,PC,PC,2022,2023,,2,Tried,,No,Yogscast Games,Triheart Studio,Golfie,Third person,Roguelike,"Sports (golf), card",,,,
Democracy 3,52,70,-18,5%,PC,PC,2013,2013,2020,13,Finished,,No,Indie,Positech Games,Democracy,Overview,Strategy,"Simulation, management",,,,
Pure Pool,51,73,-22,5%,"PS4, PC, XB1",PS5,2014,2022,,3,Dropped,,No,Indie,VooFoo Studios,Pure Pool,First person,Sports,,,,,
Clicker Heroes,51,57,-6,5%,"PC, PS4, XB1",PC,2015,2017,2018,44,Dropped,,No,Indie,Playsaurus,Clicker Heroes,Overview,Strategy,Idle,,,,
Mega Man X,50,89,-39,4%,SNES,Switch,1994,2024,,1,Tried,0,No,Capcom,Capcom,Mega Man,2D,Action-platformer,,,81,2018,
Shoppe Keep,50,57,-7,4%,PC,PC,2016,2015,,8,Dropped,,No,Indie,Strange Fire Studios,Shoppe Keep,First person,Simulation,"Management, strategy",,,,
James Cameron's Avatar: The Game,50,61,-11,4%,"X360, PS3, PSP, PC, Wii",PSP,2009,2010,,5,Dropped,0,No,Ubisoft,Ubisoft Montreal,Avatar,Third person,Stealth,"Movie-game, action",,,,
Minecraft Legends,49,71,-22,4%,"PC, Switch, PS4, XB1, PS5, XBS",PC,2023,2023,,5,Dropped,0,No,Microsoft,Mojang,Minecraft,Third person,Strategy,,,,,
Diablo Immortal,49,65,-16,4%,"PC, mobile",Mobile,2022,2022,,17,Finished,1,No,Activision-Blizzard,Blizzard,Diablo,Top down,Dungeon crawler,"Hack and slash, looter, action-RPG",,,,
Game of Thrones Telltale,48,69,-21,3%,PS4,PS4,2014,2015,,6,One-hundred,1,No,Telltale,Telltale,Game of Thrones,Third person,Interactive Story,"Story-driven, linear",,,,
Mario Party 8,48,62,-14,3%,Wii,Wii,2007,2010,,5,Tried,,No,Nintendo,Nintendo,Mario Party,Overview,Party,,,,,
F.I.S.T. Forged In Shadow Torch,47,80,-33,3%,"PS4, PS5, PC",PC,2021,2023,,3,Dropped,0,No,Billibilli,TiGames,F.I.S.T.,2D,Metroidvania,Platformer,,,,
Cruis'n Blast,47,73,-26,3%,Switch,Switch,2021,2021,,3,Dropped,,No,Indie,Raw Thrills,Cruise'n Blast,Vehicle,Racing,Arcade,,,,
VR Worlds,46,56,-10,3%,PS4,PS4,2016,2018,,5,Dropped,,No,Sony,London Studio,VR Worlds,First person,Action-adventure,Compilation,,,,
Youtubers Life,46,63,-17,3%,PC,PC,2016,2016,,11,Finished,,No,Indie,U-Play Online,Youtubers Life,Third person,Simulation,Social,,,,
Rusty's Retirement,45,83,-38,2%,PC,PC,2024,2024,,3,Dropped,0,No,Indie,Mister Morrris Games,Rusty's Retirement,Overview,Simulation,"Idle, farming",,,,
Farming Simulator 2019,45,64,-19,2%,"PC,PS4,XB1",PS4,2018,2020,,7,Tried,,No,Focus Home Interactive,GIANTS software,Farming Simulator,Third person,Simulation,Farming,,,,
Incredibles: Rise of the Underminer,45,54,-9,2%,"DS, PS2, PC, GBA",GBA,2005,2006,,2,Tried,0,No,THQ,Helixe,Pixar Movie Games,Third person,Action-adventure,"Movie-game, platforming",,,,
Exoprimal,44,68,-24,2%,"PS4, PS5, XB1, XBS, PC",XBS,2023,2023,,2,Tried,,No,Capcom,Capcom,Exomprimal,Third person,Shooter,Multiplayer,,,,
Marvel's Avengers,43,68,-25,2%,"PS4,XB1,PC",PS4,2020,2021,,14,Finished,1,No,Square Enix,Crystal Dynamics,Marvel's The Avengers,Third person,Action-adventure,"Superhero, looter",,,,
Contrast,43,59,-16,2%,PS4,PS4,2013,2013,,2,Dropped,0,No,Focus Home Interactive,Compulsion Games,Contrast,Third person,Puzzle,,,,,
Fifa 06 Game Boy Advance,42,49,-7,1%,GBA,GBA,2005,2005,,30,Finished,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Outer Wilds,41,86,-45,1%,"PC,XB1",XBS,2019,2021,,3,Tried,0,No,Annapurna,Mobius Digital,Outer Wilds,First person,Adventure,"Open-world, exploration, puzzles, survival, roguelike",,,,
Flintlock: The Siege of Dawn,40,69,-29,1%,"PC, PS5, XBS",XBS,2024,2024,,2,Tried,0,No,Kepler Interactive,A44 Games,Flintlock,Third person,Soulslike,"Platforming, open-world",,,,
CrossfireX,40,42,-2,1%,"XBS, XB1",XBS,2022,2023,,4,Finished,,Yes,Indie,Smilegate,Crossfire,First person,Shooter,"Multiplayer, action",,,,Remedy
Redfall,39,57,-18,1%,"XBS, PC",XBS,2023,2023,,6,Dropped,0,Yes,Bethesda,Arkane Studios,Redfall,First person,Looter-shooter,"Open-world, multiplayer (co-op)",,,,
Fifa 14 Legacy Edition,37,38,-1,0%,"Vita, WiiU",Vita,2013,2013,,10,Tried,,No,EA,EA Sports,Fifa,Top down,Sports,"Football, management",,,,
Sunlight,32,78,-46,0%,PC,PC,2021,2023,,1,Finished,1,No,Indie,Krillbite Studio,Sunlight,First person,Adventure,,,,,
Doom VFR,25,70,-45,0%,PS4,PS4,2017,2019,,1,Tried,0,No,Bethesda,id Software,Doom,First person,Shooter,VR,,,,
